k,exit_ok,gamma,kr,tgo,fuel_opt,",fuel_sim",final_error_1,final_error_2,final_error_3,coeff1,coeff2,coeff3,coeff4
906,1,0.506901313757857,6.28454975582643,650.862963807707,6623.36070804745,6916.79033127592,4.86000179047118e-06,0.00109045013293796,-0.000204425537958741,0.128474021944875,-0.871525978055125,-0.00348882795016274,1.483525617045e-05
907,1,0.478043737045371,6.14069979298775,665.624198511547,6637.79836996803,6943.25277580371,5.76846340816369e-06,0.00125743931205022,-0.000363106140866876,0.114262813728768,-0.885737186271232,-0.00328205121614842,1.38598861142416e-05
908,1,0.479514167542226,6.14798920221524,664.625786039564,6635.60532947933,6949.58126493878,1.22727737058019e-06,0.00124585772132713,-0.000367976259440184,0.114966792266331,-0.885033207733669,-0.00329352462596696,1.39180605698438e-05
909,1,0.47999901361955,6.15039279552155,665.958797501259,6639.17400991422,6954.4753876767,-8.39165197506157e-08,0.0012691231516902,-0.000378834316506982,0.115199302793172,-0.884800697206828,-0.00328908591458289,1.38678179571383e-05
910,1,0.482366763121614,6.16214202241284,662.555550016525,6639.83450274628,6940.69384099587,6.41818914375806e-06,0.00126077745484984,-0.000375909032300115,0.116338582398945,-0.883661417601054,-0.0033165665785315,1.40374140775447e-05
911,1,2.11861486602677,9.75440872135398,615.313176878536,6586.51313776878,6877.10913545322,5.16993493543448e-06,0.00119000573224126,-0.000796190230175853,0.390218321658253,-0.609781678341746,-0.00693536696870972,2.57637168773206e-05
912,1,0.474785774336969,6.12456357306909,665.163279320902,6638.51054555841,6974.98847040467,-6.19271415813717e-06,0.00119230877995409,-0.000342161394655704,0.112710664479975,-0.887289335520025,-0.00326986248133703,1.38426301492223e-05
913,1,0.480327393389896,6.15202392732847,665.354842707878,6640.15566900643,6953.84138332186,2.2657158681125e-06,0.00126201551546494,-0.000376914162188768,0.115357197475211,-0.884642802524789,-0.00329353454800292,1.38966900616295e-05
914,1,0.478469592737751,6.14280909077613,663.791275659143,6644.75746993503,6957.16593682729,3.88860170440404e-06,0.00121327976392431,-0.000355756608769298,0.114466340900795,-0.885533659099205,-0.0032930093637014,1.39413213580123e-05
915,1,0.478953005570794,6.14520421028115,664.234459880794,6645.59450524761,6927.97617825198,1.03914926328261e-05,0.00122249744451048,-0.000360710080713034,0.114697624301221,-0.885302375698779,-0.00329296334585582,1.39281525283767e-05
916,1,0.504912586657386,6.27458411410518,650.40802694149,6624.3508487949,6921.25730816178,1.83960387437445e-06,0.00107906297621632,-0.000193001003935933,0.127468062497281,-0.872531937502719,-0.00348206053083292,1.48324591452943e-05
