k,exit_ok,gamma,kr,tgo,fuel_opt,fuel_sim,final_error_1,final_error_2,final_error_3,coeff1,coeff2,coeff3,coeff4
417,1,0.807563214014688,7.1830675892331,609.0356844396,6558.11834318417,6849.72575206289,1.01778142164535e-06,0.00096330030475641,-0.000405563740059733,0.225500105786929,-0.774499894213072,-0.00462540040325478,1.9365310915166e-05
418,1,0.573253278157569,6.59086684434666,666.5552626884,6656.11604949296,6963.12040905361,2.46717548336946e-06,0.00091735894622352,-0.000351964263245463,0.160882777646263,-0.839117222353737,-0.00368509010027555,1.48344078216777e-05
419,1,0.583071444857884,6.67225148344266,655.904803949651,6637.35513076871,6944.70293085082,1.93809964109425e-06,0.00113544986155816,0.00250171520747244,0.169985409347733,-0.830014590652267,-0.0038208458544259,1.55092495283072e-05
420,1,0.708650113953284,6.76955498722199,651.928254679847,6640.54323972398,6932.03275944386,4.02101171624049e-06,0.000934399443901844,-0.000280378852039576,0.176891707855936,-0.823108292144064,-0.00392937287665946,1.59279730631785e-05
421,1,0.806135138764187,7.63287212454932,613.862384023151,6575.9965270789,6866.20502471299,1.25704907215151e-06,0.000546763210080837,-0.000305218854919076,0.290235157928417,-0.709764842071583,-0.00506085940604876,2.02556387610188e-05
422,1,0.582932413220778,6.6715359186919,655.120759951859,6640.16973376769,6948.57381494978,2.45906125461305e-06,0.0011252026438296,0.00248950440436602,0.169904655427629,-0.830095344572371,-0.00382474921869016,1.55447271966396e-05
423,1,0.583049561281947,6.67213979775771,653.279027532166,6639.94766333349,6949.69638591482,-1.77693161953455e-06,0.00111066426304026,0.00246887956745923,0.16997280425946,-0.83002719574054,-0.00383609850848139,1.56339135121613e-05
424,1,0.583060289953339,6.67218871274465,653.356715734136,6641.17251589528,6949.34623876122,-1.85345360635778e-06,0.00111114418244513,0.00246933638118207,0.169978324864778,-0.830021675135222,-0.00383568825556678,1.56303103814584e-05
425,1,0.664607731394277,7.22094003087408,595.457550890251,6529.42280961963,6833.37209470458,6.93327887841405e-07,0.0010916968794535,-0.000416290480643511,0.235917422066526,-0.764082577933474,-0.00478016851620744,2.03653615480642e-05
426,1,0.583067819602681,6.67223873637141,653.767269667438,6638.9766886818,6950.25150580556,1.14507042490227e-06,0.00111000892418365,0.00246859877370298,0.169983970667972,-0.830016029332028,-0.00383332640700795,1.56108024837155e-05
427,1,0.633098345960487,7.13665917836209,724.356196798909,6824.68620231918,7173.8606131751,-3.19715697562161e-06,0.000325028282178891,-0.000142114935442805,0.224865643200092,-0.775134356799907,-0.00385610731947195,1.36016187414462e-05
428,1,0.583026852802923,6.67202023456967,655.251293067085,6642.07276934206,6958.18960870182,-1.30665906951366e-06,0.00113013452506606,0.00249447743408382,0.169959310499532,-0.830040689500468,-0.00382444026329881,1.55396624693131e-05
429,1,0.583335604774076,6.67361640892245,656.124557725571,6637.79452256155,6977.65581179114,-2.91097031003193e-06,0.000850216818636794,-0.000232350314036012,0.170139487028685,-0.829860512971315,-0.00382084112227127,1.55020329005496e-05
430,1,0.583141219566669,6.67261205163185,659.578268678876,6637.94224208519,6943.17010270312,7.57966596408484e-07,0.00101873967356423,-0.000416917493566871,0.170026106325136,-0.829973893674864,-0.00379990101426658,1.53378045332466e-05
431,1,0.583047685506374,6.67212833584741,653.907911942583,6642.65574497528,6960.50550562383,-1.50812386812268e-06,0.0011144270864121,0.00247387331910431,0.169971510663577,-0.830028489336422,-0.00383239846592853,1.56038298853254e-05
