k,exit_ok,gamma,kr,tgo,fuel_opt,",fuel_sim",final_error_1,final_error_2,final_error_3,coeff1,coeff2,coeff3,coeff4
538,1,0.654758519802561,7.00853566146622,598.843085262343,6519.35846529121,6836.8642433941,-3.12593629248536e-06,0.00135697895475178,0.00295809330418706,0.209519417617218,-0.790480582382782,-0.0045317167637687,1.95434489679621e-05
539,1,1.01014498865995,7.57351210492461,598.278711449726,6536.53808195523,6823.88362858843,2.2683789399868e-06,0.000839003007009326,-0.000255407299846411,0.260615278397955,-0.739384721602045,-0.00509356470912359,2.11587605940047e-05
540,1,0.938723437132038,7.46544366453299,598.094925345457,6526.39961206387,6819.3897640432,8.18055343127302e-08,0.00102746844617484,-0.000467332545667887,0.253628801247571,-0.746371198752429,-0.00499310478481182,2.08696606554246e-05
541,1,0.675396634973312,6.99337023649257,521.357961710579,6549.62412687099,6180.60733530812,-33.3464106195897,-39095.0905814377,-10801.2392170581,0.207332053383717,-0.792667946616283,-0.00518648868957157,2.57285019903646e-05
542,1,0.753508461549307,7.95871461409022,607.079477706013,6573.60183895387,6861.98737771968,1.03942327618856e-06,0.00050436786860353,-0.000294369412586093,0.335458376307952,-0.664541623692048,-0.00546026641499865,2.15949313759412e-05
543,1,1.5403386472616,9.15593751203479,624.196761665197,6620.0601508537,6929.52317362865,-4.43846216861404e-07,0.000425490051998168,-0.000239977380260825,0.451454484252538,-0.548545515747462,-0.0064553735099818,2.34995636179068e-05
544,1,0.583608529106597,7.84110441542075,604.457819831354,6547.90598568244,6837.42370457192,-8.66288571882944e-07,0.000675228138336966,-0.000215999083593488,0.302000757846284,-0.697999242153716,-0.00533131156522347,2.14607668478287e-05
545,1,0.686796625464672,7.22919032924555,594.73594986047,6528.46881968706,6835.69580892966,-1.07306604652186e-06,0.00102279826474559,-0.000410337233915925,0.237163058701786,-0.762836941298214,-0.00479499889655839,2.04381356356247e-05
546,1,0.688285095901108,7.24652709492307,594.80560827479,6524.63707661591,6828.07725894175,-1.31929041219262e-06,0.00109420449365634,-0.000437029637396336,0.239383737304851,-0.760616262695149,-0.00481274427298925,2.04823513154925e-05
547,1,1.31582588598898,8.117422444086,605.658652573834,6549.013781381,6838.95409871321,2.39831767069343e-06,0.000928264367556912,6.14526215940714e-05,0.294800688911912,-0.705199311088088,-0.00553696689827459,2.21290258392517e-05
548,1,0.961369655369428,7.4988319432849,598.823644170006,6526.56732233213,6809.13555822828,4.74372322537583e-07,0.00114477115905623,-0.000520667294040322,0.255828857473733,-0.744171142526267,-0.00501858077645143,2.09120082231207e-05
549,1,5.01116575309296,16.2976606952559,649.31189456063,6747.73272134083,7005.51011161313,4.32090659017699e-07,0.000911156241203596,-0.000665096798911691,0.813135226780944,-0.186864773219057,-0.0122621588193706,3.86561461485231e-05
550,1,1.15360547320727,7.83070638777157,602.053845059604,6532.36216984898,6822.95073174997,-2.57824108724223e-07,0.000897267884527612,-0.000311236595734954,0.278651323776462,-0.721348676223538,-0.00530518083037247,2.16038061451515e-05
551,1,1.24528878986578,8.59350830314355,618.520666919855,6604.13153633021,6892.87804841762,-9.75643488891522e-07,0.000498180744479758,-0.0003784263972193,0.403470419012787,-0.596529580987213,-0.00598237822676348,2.24627058447184e-05
552,1,1.15323556041791,7.81819542738942,601.49945122684,6538.22578237503,6826.01921000938,-7.37779219778766e-07,0.000866211696199339,-0.000301854219287634,0.276442117066995,-0.723557882933005,-0.00529599790035446,2.16090687471697e-05
553,1,1.7276156331106,9.18068817014828,615.865252482772,6593.66074127866,6898.00074919106,-2.7176004712283e-06,0.000672077261809354,-0.000478975474834442,0.399843574939019,-0.600156425060981,-0.00647899462411183,2.42049301249273e-05
554,1,0.78617850542904,7.28924804700875,598.01993174063,6522.38045613244,6815.8149041556,2.90685834666789e-06,0.000939929361010665,-0.000265233684331179,0.242228347206633,-0.757771652793367,-0.00482735142674656,2.03822165307424e-05
555,1,0.633021483667764,8.53736101085572,616.832065998288,6599.11647555679,6910.42701371097,-6.28101156311647e-07,0.000406479122410153,-0.00031968648545444,0.393239214777249,-0.606760785222751,-0.00593665589398083,2.24382902512727e-05
556,1,3.28399325334512,12.414298898265,632.747283921644,6663.95901349008,6936.36344833542,1.26586737154717e-06,0.00102476340348844,-0.000808163778856397,0.573740081297461,-0.426259918702539,-0.00913617438956217,3.10071334512771e-05
557,1,1.36406110457742,8.1785503344841,611.206634583165,6560.86217843296,6867.46888187704,-1.1123599678222e-06,0.000961714086347006,-0.000540202483534813,0.294060144754017,-0.705939855245983,-0.00553550161362934,2.18927446309156e-05
558,1,0.44798879531667,8.17001826920783,605.257576454522,6545.88417864172,6832.03652141092,2.28072281934134e-06,0.00095089160430059,-0.000514495419338345,0.299579299998925,-0.700420700001075,-0.00559198028454114,2.2301935662363e-05
559,1,0.706803595450335,7.24702724052736,594.604549164139,6526.20632292898,6822.55753562923,2.00629233889076e-06,0.00109663875424317,-0.000434434041380882,0.239372351437874,-0.760627648562126,-0.00481477307182738,2.04976200501381e-05
560,1,0.665804261411089,7.23055923136143,599.650601933571,6522.81057573024,6835.70348865381,-2.93492368070344e-06,0.00108801545724752,-0.000437833135947585,0.237138467414294,-0.762861532585706,-0.00475680016645927,2.01082992711712e-05
561,1,3.91562572369397,13.8224156909031,637.037619230476,6692.12412133402,6961.36100993797,-1.08542699142015e-06,0.000931092153179462,-0.000234527979046106,0.658988101696451,-0.341011898303549,-0.0103136702587276,3.40607173493257e-05
562,1,0.921106488659266,8.30189958582,616.057818477278,6594.97927828975,6884.10796662445,7.78187297477412e-07,0.000313230260462696,-0.000239037908613682,0.387803954418466,-0.612196045581534,-0.00574419095284802,2.1874318374952e-05
563,1,2.7937087654886,11.7163381216098,639.673284893346,6671.37569556206,6987.1419487288,1.03957061301608e-06,0.000629740755642287,-0.000550981611013412,0.620353092567694,-0.379646907432306,-0.00856456300857715,2.86335680903977e-05
564,1,0.687458746947852,7.21147577295937,595.122730773854,6522.66031412572,6832.18993779312,-2.45925650597706e-06,0.00103540887712557,-0.000409184023737907,0.234898127209525,-0.765101872790475,-0.00477319360662877,2.03615610987282e-05
565,1,1.11694404187493,7.75373990353084,598.372213397377,6532.29859851852,6816.58516139971,-4.16809732124821e-07,0.00112958800388065,-0.000534345861524343,0.272316315569142,-0.727683684430859,-0.00526292196867637,2.16555088326204e-05
566,1,0.499406417227794,7.67111744681649,598.732134735259,6533.44152429883,6835.84553865391,-5.90800595105638e-07,0.000896375151355736,-0.000452278414741158,0.266976603525067,-0.733023396474933,-0.00518184200736972,2.13990008560093e-05
567,1,1.03956918251246,7.62876051626499,600.991336187177,6526.58722016684,6817.70174160807,-5.83150276451349e-07,0.000800952226059589,-0.000407420331612229,0.264994697642687,-0.735005302357313,-0.00512382586962305,2.11211499090154e-05
568,1,0.700402827049643,7.25002816078879,599.827287507418,6513.77112069634,6825.6468933975,-2.99635010006668e-06,0.00112827377329774,0.00299408542923629,0.239816196782804,-0.760183803217196,-0.0047760919465368,2.01505662920634e-05
569,1,1.25308600332716,8.03894038630846,604.467719376642,6546.51876251523,6862.19478164253,-1.12919931007858e-06,0.000931399441586246,-0.000388541957363486,0.295210547910911,-0.704789452089089,-0.00548363565962366,2.20015147560074e-05
570,1,1.7355509577992,8.98216933238983,609.893093095149,6579.14236559216,6840.94524025397,1.51472567834645e-06,0.000950799951575085,-0.000615715514868498,0.351023789012449,-0.648976210987551,-0.00629964250899946,2.41475908097836e-05
571,1,1.28451304544687,8.06529647783967,602.355158479604,6544.81283373341,6851.82041895295,-6.94418369407129e-07,0.000870720745620523,-0.000332467723637819,0.292582006062089,-0.707417993937911,-0.00552038145298712,2.22287513923239e-05
572,1,0.704210674826593,7.95030625835718,608.787233186947,6566.42210713834,6884.56062985867,-1.97362610895684e-06,0.000547514342083159,-0.000312433345243335,0.330969495748469,-0.669030504251531,-0.00543067010065208,2.1451258976769e-05
573,1,1.01970092306484,7.59235898439716,597.685951469546,6537.63187262505,6830.73252012624,6.75761034237313e-07,0.000880682105902653,-0.000270515913143754,0.262203421417684,-0.737796578582316,-0.00511703998746588,2.12535087681916e-05
574,1,0.534464996463553,8.18757897172543,611.020865062666,6558.67074912807,6883.1836274096,-1.60188277887902e-06,0.000699086119198413,-0.00030429451726377,0.328828513660729,-0.671171486339271,-0.00560147483535186,2.19302418145919e-05
575,1,0.570919925078685,7.43554421012805,597.843202186771,6529.27783958684,6826.51783145501,3.97851538414505e-07,0.000891905665901821,-0.000406652688980102,0.254679562084579,-0.745320437915421,-0.00497195862774063,2.08035844081309e-05
576,1,0.748751543323318,7.78886974424959,608.021045902017,6556.13564785427,6836.05929060053,1.94951238720938e-06,0.000458631975485474,-0.000127487117424607,0.312080647188199,-0.687919352811801,-0.00527369166071552,2.10686746592972e-05
577,1,1.48770164556439,8.47655363275804,607.061650488881,6557.31784324055,6815.96210282046,4.66632429052571e-06,0.00110660557284705,-0.000626600114628672,0.320162683112762,-0.679837316887238,-0.00586174319630648,2.3001370712894e-05
578,1,1.23760199454914,7.97638568097989,602.556960054349,6538.42552212841,6826.62586845524,-1.89072739910378e-06,0.00109675682237967,-0.000556925078853965,0.286919988803635,-0.713080011196365,-0.00543535805975617,2.19689818774431e-05
579,1,0.537263685544408,7.48582703501606,600.970684439251,6524.31557329517,6833.91460790385,1.4770609408736e-06,0.00113044585490601,-0.000511514022946358,0.255295449143586,-0.744704550856414,-0.00498894379423708,2.0726845649278e-05
580,1,0.637694170224323,8.20612148096167,609.27536695957,6578.91573987891,6875.43718337061,-1.17902728890266e-06,0.000495256398343716,-0.000213914550840855,0.354269926226784,-0.645730073773216,-0.00567449605579909,2.21060272983705e-05
581,1,0.987390816501377,7.87134369632517,605.022450864582,6558.91208717537,6859.00794056643,-1.6983412183465e-06,0.00050482985821617,-0.00030623166821897,0.313425339916283,-0.686574660083717,-0.00537020929295414,2.15033386668883e-05
582,1,1.40960846469836,8.31323041774431,602.607679151192,6555.84188174841,6835.20851757583,2.54285172749476e-06,0.00114985192193856,-0.00065663899295032,0.308829310073672,-0.691170689926328,-0.00575074735825987,2.28928833136687e-05
583,1,3.39460575489558,12.6473303547535,634.36279717966,6668.70435542889,6951.7573040978,-1.18124160603943e-06,0.000958283547817127,-0.000767216784879565,0.584619267002491,-0.415380732997509,-0.00931373099218162,3.14284853858896e-05
584,1,0.73173833893537,8.08239943333835,611.657003592948,6577.63611733194,6849.02970396279,1.9679303340893e-07,0.000433794577501232,-0.000175883527845144,0.350759470548846,-0.649240529451154,-0.00554552497117377,2.16035142556e-05
585,1,0.716933531826624,7.14499331514206,584.762719307506,6497.16171656367,6780.66725485023,1.90766616636154e-06,0.00123832980998612,-0.000461243791505694,0.225762568813444,-0.774237431186556,-0.00478529005696235,2.0895004680224e-05
586,1,0.764401754139367,7.25454541333969,596.634846200413,6515.76341790033,6801.28165797947,5.26385723178028e-06,0.00119673734113226,-0.000471675535663962,0.238597761241672,-0.761402238758328,-0.00480339102914021,2.03794741913435e-05
587,1,1.19654930061465,7.8983840789738,599.591460185494,6542.47917183484,6840.51227401224,3.92212808589102e-07,0.00084607755548753,-0.000458119669929147,0.281733224836269,-0.718266775163731,-0.00538854449882196,2.19698641365593e-05
