k,exit_ok,gamma,kr,tgo,fuel_opt,fuel_sim,final_error_1,final_error_2,final_error_3,coeff1,coeff2,coeff3,coeff4
371,1,0.632644154608059,5.26539837690317,634.81818257359,6552.41053132087,6836.70738122856,-8.92253181002799e-07,4.34333056184296e-05,-0.000131396111100912,1.32250457588011e-05,-0.999986774954241,-0.00257193706531566,1.30656951335694e-05
372,1,0.631415480883412,5.26294131720498,635.772523042674,6548.82750803827,6859.32637436733,1.12216085700245e-07,4.44340015201844e-05,-0.00013521034270525,1.3240047524902e-05,-0.999986759952475,-0.00256614408380229,1.30204207487278e-05
373,1,0.631114975447335,5.26233200440101,634.627162646046,6542.51797513782,6836.40970100314,-5.41977309974546e-07,4.31439553865527e-05,-0.000132506946101785,1.22395822203876e-05,-0.99998776041778,-0.00257029376899282,1.30659481915631e-05
374,1,0.6287942886358,5.25770148433438,636.915159733312,6546.49094127684,6854.0998776641,-9.30161260772842e-08,4.42894961151662e-05,-0.000136645743623376,1.35033989776967e-05,-0.999986496601022,-0.00255742734440204,1.29608281598491e-05
375,1,0.632099313865667,5.26430686836213,635.137798421894,6548.05759492932,6860.05476688179,-2.01866984882171e-06,0.000737419060200698,0.000230476958677173,1.29970073879369e-05,-0.999987002992612,-0.00256978317971918,1.30498427576148e-05
376,1,0.623137274825025,5.24637661676697,640.34418429523,6546.01278640488,6845.5639834317,-5.32139971909562e-07,4.36093779212783e-05,-0.000138351460918784,1.21232361144649e-05,-0.999987876763886,-0.00253488744245583,1.2794771213725e-05
377,1,0.628293688717153,5.25669767809703,637.123661561023,6546.38382470857,6851.31434908377,-2.08778155292503e-07,4.41104373464383e-05,-0.000136547954753041,1.31836884414666e-05,-0.999986816311559,-0.00255580214796495,1.29498736828924e-05
378,1,0.631611179974046,5.26333246839084,635.216453667636,6551.00538642588,6863.31016723646,2.60552939727297e-07,4.4309330378186e-05,-0.000135019654408097,1.32135256111003e-05,-0.999986786474389,-0.00256869833629148,1.30441963117186e-05
379,1,0.630671404437697,5.26144483452054,634.793293997093,6544.31367040741,6823.18849420637,-1.23241065669934e-06,4.30458309674089e-05,-0.000132485758513212,1.22297024260517e-05,-0.999987770297574,-0.0025689222970433,1.30569085055984e-05
380,1,0.6411743712424,5.28245071377261,629.66215289822,6558.11933617666,6874.17374888905,-1.67222428052279e-06,0.000746262699002613,0.000233274651691318,1.23773305278213e-05,-0.999987622669472,-0.00260653705588388,1.3323559747621e-05
381,1,0.630642548502996,5.26139532909958,636.256271231709,6550.6119250308,6895.47951323988,-5.76894971143869e-06,0.000751173080273508,0.000233548227697611,1.32129407825677e-05,-0.999986787059218,-0.00256297808166783,1.29968103867228e-05
382,1,0.632623488591396,5.26535715612518,634.331556694001,6547.80746856843,6868.23963635989,-3.57136728820507e-06,0.000741325824993027,0.000232247868552804,1.32380849760667e-05,-0.999986761915024,-0.00257387764950053,1.30856470108304e-05
383,1,0.629819744858965,5.25974154913144,636.445512550413,6547.66275860144,6851.39858274725,-2.13153336679579e-07,4.39992860726993e-05,-0.000135222217068076,1.22211862438456e-05,-0.999987778813756,-0.00256091521365368,1.29849997943427e-05
384,1,0.635110722450244,5.27033163530586,632.759421603319,6547.222550363,6857.73688475352,3.03797309514618e-07,4.38329783188404e-05,-0.000131587963551283,1.32789691472367e-05,-0.999986721030853,-0.00258420347575193,1.31631764578552e-05
385,1,0.627419123371962,5.25494034123355,637.832273651891,6543.58857082488,6838.10936188572,-5.74751687181414e-07,4.30175583043059e-05,-0.00013355165719986,1.21899156878156e-05,-0.999987810084312,-0.00255158358672313,1.29167962563063e-05
386,1,0.633841819420583,5.26779397669222,634.3270398266,6549.12085570407,6883.32292094008,-2.32406925415601e-06,0.000743393282780173,0.000230416655540466,1.32765650062236e-05,-0.999986723434994,-0.00257581683000265,1.30918895267159e-05
387,1,0.629890573877037,5.25988320703353,636.682693382689,6548.98336870132,6872.01643274765,-2.2321492162655e-06,0.000737650426673507,0.00023114331997931,1.22222153932087e-05,-0.999987777784607,-0.00256007245472974,1.29756765550689e-05
388,1,0.632793203439246,5.26568841710498,634.260053092723,6550.92881336473,6868.71485443998,-2.57197560100221e-06,0.000738622288226174,0.000233195489272475,1.22591052569827e-05,-0.999987740894743,-0.00257442741300789,1.30894210569421e-05
389,1,0.631810561725774,5.26372314759506,635.512435054664,6553.04775695187,6847.23826420635,-3.37682878027427e-07,4.28451344036742e-05,-0.000129980267956853,1.22463091307084e-05,-0.999987753690869,-0.00256780785094519,1.30330161469292e-05
390,1,0.626471988570711,5.25305447168939,638.682488405897,6545.01878103904,6860.97169514916,1.69636168041726e-07,4.47203492164903e-05,-0.000139395939186215,1.31777036827238e-05,-0.999986822296317,-0.00254671208789222,1.28778062536573e-05
391,1,0.630563626998844,5.26123762838794,636.097444836598,6547.03865632497,6846.62974881859,-3.94808347692832e-07,4.40410358859599e-05,-0.000134593807160854,1.32287383458341e-05,-0.999986771261654,-0.00256349409381954,1.30029117622632e-05
392,1,0.627588917890452,5.25527993895317,637.144173820909,6539.8747326483,6844.42416778864,-1.64158919305413e-07,4.32307591878656e-05,-0.000134756788611412,1.21934635506459e-05,-0.999987806536449,-0.00255460573888515,1.29455475029872e-05
393,1,0.62711462161334,5.25433983960389,638.646162228991,6544.65067960285,6847.16489473158,-4.32494191700263e-07,4.43495608754817e-05,-0.000137388939037919,1.32001483066913e-05,-0.999986799851693,-0.00254786330238185,1.28824226979064e-05
394,1,0.632940467978517,5.26598300433544,634.82382527068,6548.59803995954,6839.63671925867,-6.75904934994997e-07,4.36580800367471e-05,-0.000131959794089198,1.2268262039807e-05,-0.99998773173796,-0.00257237316153575,1.30669135468194e-05
395,1,0.629344161984043,5.25879040325196,636.923206084113,6546.87546971626,6842.2088071887,-6.7121872087128e-07,4.41135701235681e-05,-0.000135760055854917,1.22165447742319e-05,-0.999987783455226,-0.0025582478430776,1.29631849298988e-05
396,1,0.627421563528445,5.25495370842792,638.310904799698,6544.48893952858,6851.97738218325,-1.45954037924835e-07,4.41884149480292e-05,-0.000136848073452711,1.32032745854679e-05,-0.999986796725414,-0.00254968236520924,1.28974652615894e-05
397,1,0.62702573673132,5.25416213927688,638.549878961787,6543.13718636424,6828.39462906861,-1.13475810924661e-06,4.35545652241138e-05,-0.000135061098262668,1.32070106380606e-05,-0.999986792989362,-0.00254810834714205,1.28858721124079e-05
398,1,0.628062432588583,5.25622694468066,637.44591573228,6545.29560283579,6864.13751970968,4.12261906146502e-07,4.43831553675036e-05,-0.000137698138132691,1.21976366482511e-05,-0.999987802363352,-0.00255413930781349,1.29356251643671e-05
399,1,0.623802884761978,5.2477163477911,641.43327843457,6549.75695836757,6862.45335488835,-6.36884685848686e-08,4.49089781481068e-05,-0.000140782678499818,1.31448597826155e-05,-0.999986855140217,-0.00253162935780074,1.2754615659727e-05
400,1,0.63369654441578,5.26749512031275,633.370869210437,6546.93717661212,6862.26638757613,-2.13266280378084e-06,0.000736475138707239,0.000231576384976506,1.22749519468667e-05,-0.999987725048053,-0.00257946791450162,1.31307028172888e-05
401,1,0.633085585021296,5.26628134288897,634.148556576538,6549.03343007041,6858.78444900564,1.43777498663923e-07,4.43299207825534e-05,-0.000134353525936604,1.32446968875072e-05,-0.999986755303113,-0.00257534910267396,1.3095498657114e-05
402,1,0.627861384452877,5.25583308064387,636.957477868779,6543.64529046811,6860.19683933523,2.77990492912923e-07,4.44606875164203e-05,-0.000138334231451154,1.31781076857128e-05,-0.999986821892314,-0.00255579026071972,1.29545008217036e-05
403,1,0.631729163041294,5.26356836867063,634.947555326316,6550.65552227135,6835.03726578976,-8.92482189415374e-07,4.32463289770676e-05,-0.000131570501253009,1.32074973786859e-05,-0.999986792502621,-0.00256997192625472,1.30558321359253e-05
404,1,0.629700150162958,5.25950236958205,636.871336205351,6548.4829046918,6842.11643501712,-6.79308704597422e-07,4.3877451555172e-05,-0.00013455911539495,1.22205997346327e-05,-0.999987779400265,-0.00255901516168293,1.29670519036997e-05
405,1,0.634462319122918,5.26903468508539,633.022449211403,6549.74428107599,6847.40311053591,-2.55750377927163e-07,4.35254772805433e-05,-0.000131125096231699,1.32513895767913e-05,-0.999986748610423,-0.00258210525703869,1.31490032782526e-05
406,1,0.629081933122938,5.25826590242231,636.328408344545,6547.02574901471,6857.03954674844,1.44361216627502e-08,4.43366506993918e-05,-0.000137319322675467,1.22075151621854e-05,-0.999987792484838,-0.0025602269792805,1.29861351738574e-05
407,1,0.627656171650613,5.25542253074893,637.778684132877,6549.60256605611,6876.79381241465,7.65618183349935e-07,4.51425613754701e-05,-0.000140064395964146,1.31599849962494e-05,-0.999986840015004,-0.0025521775278089,1.2920152456846e-05
