k,exit_ok,gamma,kr,tgo,fuel_opt,coeff1,coeff2,coeff3,coeff4
653,1,0.44391610836404,8.22596997419034,603.123550955496,6547.90821848063,0.303171847307734,-0.696828152692266,-0.00566410784157056,2.26138519937347e-05
654,1,0.470059842213854,7.9131435783371,600.620316808126,6538.3203006221,0.282887709557781,-0.717112290442219,-0.00539352300958078,2.1935574253324e-05
655,1,1.69728454301854,8.90257785114733,610.635601975038,6566.54039955217,0.346135107803802,-0.653864892196198,-0.00621880548905942,2.38754484317406e-05
656,1,1.93699872052247,9.98125618722995,635.275291601545,6657.36291633397,0.518384407123767,-0.481615592876232,-0.0070977300083109,2.47321159706114e-05
657,1,0.877852860163399,7.38383334061132,597.124373995083,6526.10922224646,0.248319938097295,-0.751680061902705,-0.00492399362084517,2.07086738252913e-05
658,1,0.428022906527909,8.45590344083631,606.38529941294,6556.04503573988,0.317299626948878,-0.682700373051122,-0.00584653247827627,2.29965499883729e-05
659,1,0.6407260007647,7.36054463876234,596.364910477226,6531.57369698905,0.252227741592243,-0.747772258407757,-0.00491729142585997,2.06959700259726e-05
660,1,0.794483473889734,7.18991834761763,591.992181162369,6515.5085053024,0.22757862795689,-0.77242137204311,-0.00476786331235606,2.05159681822266e-05
661,1,1.31993874408298,8.18046697327355,606.105344663993,6553.56582579891,0.306253203277407,-0.693746796722593,-0.00560378937393646,2.22680336190041e-05
662,1,1.62394025820575,8.73690206180797,610.747452187087,6567.63049900163,0.333626089369128,-0.666373910630872,-0.00606155147600858,2.3422548104063e-05
663,1,1.48561908775933,8.46558148155264,608.278869544964,6554.50713288125,0.318454897568363,-0.681545102431637,-0.00583818675306158,2.28797531140865e-05
664,1,0.485959451078302,7.76829537086647,600.41369865305,6538.34682909693,0.273320140671057,-0.726679859328943,-0.00525882043195827,2.15488722098923e-05
665,1,1.36620469600151,8.38735038341872,609.629869851083,6564.48470194037,0.33583640305107,-0.66416359694893,-0.00578959753993452,2.2567960366512e-05
666,1,1.30451837252127,8.10410075736,602.529786966229,6547.39060849988,0.295101774646122,-0.704898225353878,-0.00555516461713738,2.23227547744619e-05
667,1,0.536147255691944,7.48199968246187,598.945425945128,6525.77478175571,0.254708556768653,-0.745291443231347,-0.00500163832668461,2.08565840617028e-05
668,1,0.994639360616706,7.54937145141476,599.931577994833,6533.29059479436,0.259084558905082,-0.740915441094918,-0.00505686047524338,2.09752598789594e-05
669,1,1.13790277518446,7.79199760614259,601.065921535447,6534.69816577437,0.274909592741615,-0.725090407258385,-0.00527547525521444,2.15677380039744e-05
670,1,1.26107946993257,8.02120419671358,602.857594721483,6544.65416082962,0.289845006130815,-0.710154993869185,-0.00547467118832996,2.20703946701716e-05
671,1,0.670397966340628,6.64688715658086,668.329645766113,6669.16982094116,0.163945769768076,-0.836054230231924,-0.00372180010839888,1.48811623204088e-05
672,1,0.902512293551612,7.582434223114,600.716034021177,6539.2604815203,0.276335444080747,-0.723664555919253,-0.00510649355420669,2.10121360138901e-05
673,1,1.28911946066106,8.0704598081205,604.365919689479,6550.17845048111,0.29242643932277,-0.70757356067723,-0.00550602910417708,2.20952208165567e-05
674,1,1.5400812965828,9.06313521265157,620.425743228522,6612.18809509721,0.431337416721768,-0.568662583278232,-0.00638739618125081,2.3545007873671e-05
675,1,4.01128733679515,14.0379256307873,637.433683316286,6691.45174528076,0.672414353271649,-0.327585646728351,-0.0104973699128245,3.45487962103771e-05
676,1,0.603774083879822,7.19946046784011,546.08821922648,6492.41404328851,0.230946500235145,-0.769053499764855,-0.0051835520974336,2.41420606240436e-05
677,1,1.30919723154735,8.10979682598444,603.316407409213,6547.74212006049,0.295017145851025,-0.704982854148976,-0.00555250200011731,2.22802316257533e-05
678,1,0.74542248816387,7.57034901960303,601.415730511395,6545.88121251995,0.282307929793677,-0.717692070206323,-0.00510043599456046,2.0929860609211e-05
679,1,0.505876003690305,7.63033677505266,598.961277231738,6534.13012093373,0.264314594106699,-0.735685405893301,-0.00514137240368141,2.12689580226761e-05
680,1,0.481409559870736,7.81013746435157,601.862958405119,6538.05987718464,0.276199119496022,-0.723800880503978,-0.00528570134985857,2.15607292920999e-05
681,1,0.939042036256965,7.45725770960556,602.040392428196,6522.98107956608,0.25227785269557,-0.74772214730443,-0.00495134005124727,2.05744337541151e-05
682,1,0.913880170326037,7.5138478698058,601.429144134143,6544.87259240384,0.264403796357076,-0.735596203642924,-0.00502358051771781,2.07727243939779e-05
683,1,1.19923625064127,7.90221339373255,602.351729715166,6543.45707501795,0.281839234197886,-0.718160765802113,-0.00536720618797414,2.17795263004269e-05
684,1,0.479311240660201,7.8322788068805,600.381522730568,6540.98880448189,0.277773874462908,-0.722226125537092,-0.00531980608493258,2.17286879389904e-05
685,1,0.492250930139682,7.94278700505142,601.094493633889,6549.17939527116,0.292149276888991,-0.707850723111009,-0.00542933401316838,2.19830231570846e-05
