k,exit_ok,gamma,kr,tgo,fuel_opt,fuel_sim,final_error_1,final_error_2,final_error_3,coeff1,coeff2,coeff3,coeff4
2277,1,0.489635854957731,6.19828287750726,654.603816172062,6618.02604298916,6936.60122898652,-3.29863261914684e-06,0.00168598627282019,0.00249485927633941,0.119871260300628,-0.880128739699372,-0.00338985603846677,1.44648630797746e-05
2278,1,0.486959170781761,6.1849589794003,652.521131509544,6625.16014552528,6943.97697391589,-6.13440684660424e-06,0.00161392910389969,0.0024295428302139,0.118563937782427,-0.881436062217573,-0.00338846256575254,1.45260542703384e-05
2279,1,0.488639114164703,6.19331151698313,653.575060260329,6623.73800221566,6936.85665576176,3.93992343106892e-07,0.00164722932965285,0.00246034888550639,0.119382803553256,-0.880617196446744,-0.00339064125421514,1.44987974206341e-05
2280,1,0.48681208125602,6.18423003052169,652.652464658271,6623.55425548901,6940.54395580433,-4.59171357294278e-06,0.00162620849272571,0.00244078994728625,0.118492580647442,-0.881507419352558,-0.00338711292091076,1.45184973800842e-05
2281,1,1.79747431924381,8.74513486740414,676.359946128512,6701.0849252292,7020.60759562187,-1.26625179677211e-06,0.00114898562967016,-0.000910022528842091,0.272211216590534,-0.727788783409467,-0.00538881504020949,1.91166042622604e-05
2282,1,0.490034026132403,6.20026266747341,656.977245942145,6624.63269843615,6920.0997104771,6.22089741459764e-06,0.00122319839038419,-0.000229179160669446,0.120066005861872,-0.879933994138128,-0.00337941283859029,1.43651257399354e-05
2283,1,0.489479863825012,6.19750330202903,657.465650339586,6623.11964043082,6943.74205143796,-6.50630113325276e-08,0.00123468476553569,-0.000227590091526508,0.119794610817909,-0.880205389182091,-0.00337439113463422,1.43374075739001e-05
2284,1,0.488899487956168,6.19461936233843,653.98192190425,6619.75884623414,6902.86205942088,1.4617290297183e-05,0.00164454713894686,0.002458750968799,0.119511227097979,-0.880488772902021,-0.00338972811635573,1.4483820675846e-05
2285,1,0.48906583263588,6.19544259307962,655.255560686346,6620.8080653958,6936.21496913856,-2.90541310739778e-06,0.00169359750959525,0.00250358297489583,0.119592092478857,-0.880407907521143,-0.00338389099162493,1.44294875168597e-05
2286,1,0.490744276124827,6.20379745536318,655.845735116635,6623.36249745512,6968.39838738667,-9.29761855151395e-06,0.00123232775880752,-0.000235642772167921,0.120414027166335,-0.879585972833665,-0.00338846871429714,1.4422953816248e-05
2287,1,0.480650230467264,6.15362162223072,652.441836284594,6629.46645408228,6953.22937184301,-8.62670405227977e-06,0.00140074670400682,-0.000358805758878589,0.115511939960205,-0.884488060039795,-0.00336018113669718,1.44559682542782e-05
2288,1,0.474275188603166,6.12203766467807,652.470448279307,6639.50165207601,6946.81355332207,-1.5066895607881e-06,0.00120643540404821,-0.000345700653269887,0.112468473020431,-0.887531526979569,-0.00333116589585226,1.4380510530247e-05
2289,1,0.489791376037971,6.1990598094012,656.189691144929,6618.55192031706,6929.35607639078,1.57625081800979e-06,0.00121687315056767,-0.000226275995373726,0.119947669451837,-0.880052330548163,-0.00338237190267324,1.43968347576077e-05
2290,1,0.487923543990692,6.18976572557141,653.474807810526,6624.23699718594,6945.25561132699,-4.8305324521408e-06,0.00164978057839093,0.0024626487866044,0.119034904669782,-0.880965095330218,-0.00338791601603318,1.44949430197681e-05
2291,1,2.53223325634923,10.5040549434964,640.539166427552,6647.43796084196,6950.64618366929,3.51995467068583e-07,0.00119109840627347,-0.000895154662430286,0.402160865707366,-0.597839134292633,-0.00726604801297813,2.56015113588604e-05
2292,1,0.48852281094679,6.19273639638386,654.930363502317,6623.08593452957,6937.93123058697,-3.09409858937151e-06,0.00168205258994413,0.00249349139630795,0.119326347298002,-0.880673652701998,-0.00338309943921556,1.44375114998128e-05
2293,1,0.48875117725652,6.19386960931706,655.009682036197,6622.8919793714,6962.23471779252,-1.24247683114741e-05,0.00169863966479102,0.00250748102553189,0.119437598502132,-0.880562401497867,-0.00338372464399417,1.44366563745772e-05
2294,1,0.490026089136656,6.20022699207914,657.833759661481,6617.41056621972,6922.8257418847,6.56531111044149e-06,0.00123716359288686,-0.000229546334594488,0.120062495465585,-0.879937504534415,-0.00337498031820022,1.43276602468104e-05
2295,1,0.487303561188706,6.1866728930006,652.85709445578,6628.15350300205,6909.64174974559,1.3766276510033e-05,0.00157969039849559,-0.000405271770432591,0.118731781603958,-0.881268218396042,-0.00338828856558299,1.4515128954714e-05
2296,1,0.487907294882731,6.18967859292661,653.11983964873,6623.42492731117,6924.35309529758,2.97821529792017e-07,0.00162658403727824,0.00244138878770173,0.119026360700026,-0.880973639299974,-0.0033896775488462,1.45104989292251e-05
2297,1,0.484235913296642,6.17142397573597,652.317262944676,6623.41590042612,6930.85202717119,9.86180676910086e-07,0.00149928157473084,-0.000381262507289648,0.117241810545131,-0.88275818945487,-0.0033771201891371,1.45033270251701e-05
2298,1,0.476488106512809,6.13298976204563,651.40622758007,6630.77980752023,6932.46908001262,2.0759235708044e-06,0.00127400815664934,-0.000321057392284274,0.113520113452865,-0.886479886547135,-0.00334662903450323,1.44533469285233e-05
2299,1,0.485371202958817,6.17706509872061,653.225213237533,6623.06360014905,6921.53469772854,2.32832598441449e-06,0.00152182595355005,-0.000394506147131324,0.117792122131545,-0.882207877868455,-0.00337758651500422,1.44762575009826e-05
2300,1,0.490894225007974,6.20455223567644,655.809500945331,6619.91403951127,6955.82652945688,-2.76714332086015e-06,0.0012214505967848,-0.000233633676543832,0.120488392261559,-0.879511607738441,-0.00338934478212915,1.4426302578953e-05
2301,1,0.481290052867175,6.15679735767068,653.515715737074,6632.74314023375,6918.35752819521,7.36106847324444e-06,0.00137984400922864,-0.000362582504749298,0.115819769570103,-0.884180230429897,-0.00335756033951024,1.44159340800372e-05
2302,1,0.0793123270856089,4.32352067906586,657.353368460492,6597.88111462409,6928.55212491596,-5.49727269439741e-05,-0.00385326867621596,-0.0363433454185724,0.00314485882933499,-0.996855141170665,-0.00177211413868685,1.00055220886937e-05
2303,1,0.0792360457844837,4.32320270250634,653.265409585367,6600.87945627629,6919.77432643833,-0.000110886775640304,-0.00405739934044721,-0.0375109671149403,0.003138797602322,-0.996861202397678,-0.00178295089831063,1.01303925161489e-05
2304,1,2.94869298892513,11.3101638085115,743.045218639212,6875.53091984297,7171.82671287792,8.3614871325367e-07,0.000682120002067498,-0.000764234224334359,0.420903872345959,-0.579096127654041,-0.00683132822777289,2.04851150376367e-05
2305,1,0.490291858396818,6.20155581801964,656.195692977064,6620.18903464031,6925.99949514774,3.38303462899653e-06,0.0012170096388767,-0.000229233410209417,0.120193277455066,-0.879806722544934,-0.0033846171351547,1.44023680802687e-05
2306,1,0.484191056886407,6.17120345905918,652.645598196098,6628.85816787819,6946.92436327036,-1.52432091879841e-06,0.00149596852937261,-0.000383333535864949,0.117220319428589,-0.882779680571411,-0.00337521934576246,1.44882202158762e-05
2307,1,0.483819860110069,6.16935622288899,652.482653521753,6626.72907951955,6921.32907258806,3.76247396078396e-06,0.00148279914673195,-0.000378798227757215,0.117040353761291,-0.882959646238709,-0.00337437087916757,1.44911184655788e-05
2308,1,0.490296866266668,6.20157803730959,655.38753423673,6621.62930700524,6924.14825907459,1.95472031925745e-06,0.00120706346891861,-0.000228453427553177,0.120195464745944,-0.879804535254056,-0.00338881099712602,1.44379608450748e-05
